Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Primary %,Won Primary,Rep Party Support?,Trump Endorsed?,Bannon Endorsed?,Great America Endorsed?,NRA Endorsed?,Right to Life Endorsed?,Susan B. Anthony Endorsed?,Club for Growth Endorsed?,Koch Support?,House Freedom Support?,Tea Party Endorsed?,Main Street Endorsed?,Chamber Endorsed?,No Labels Support?,CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS,LAST_NAME,FIRST_NAME,SP_TITLE
Hirsh Singh,NJ,U.S. House New Jersey District 2,Representative,Regular,6/5/18,Lost,None,None,30.52,No,,,,,,No,,,,,,,,,H8NJ02216,"SINGH, HIRSH",O,2.0,REP,165993.74,0.0,165993.74,0.0,0.0,0.0,19513.74,74500.0,0.0,1547.1,0.0,0.0,71805.0,NJ,2.0,,,,,,0.0,0.0,12/31/2018,20300.0,0.0,singh, hirsh,
Robert Turkavage,NJ,U.S. House New Jersey District 2,Representative,Regular,6/5/18,Lost,None,None,7.09,No,,,,,,No,,,,,,,,,H8NJ02273,"TURKAVAGE, ROBERT MR.",O,2.0,REP,10527.0,0.0,10526.0,0.0,0.0,0.0,1037.0,0.0,0.0,0.0,0.0,0.0,9455.0,NJ,2.0,,,,,,0.0,0.0,09/30/2018,250.0,0.0,turkavage, robert mr.,
John McCann,NJ,U.S. House New Jersey District 5,Representative,Regular,6/5/18,Advanced,None,On the Ballot,53.05,Yes,Yes,,,,,No,,,,,No,,,,H8NJ05136,"MCCANN, JOHN JOSEPH MR. JR.",C,2.0,REP,937707.84,0.0,936653.3,0.0,0.0,1054.54,500.0,534620.44,0.0,809.24,0.0,455190.76,380419.51,NJ,5.0,,,,,,19467.89,2700.0,12/31/2018,1000.0,0.0,mccann, john joseph mr. ,
Steve Lonegan,NJ,U.S. House New Jersey District 5,Representative,Regular,6/5/18,Lost,None,None,46.95,No,Yes,,,,,Yes,,,,,Yes,,,,H8NJ05110,"LONEGAN, STEVE",C,2.0,REP,1557334.29,0.0,1554562.9,0.0,0.0,2771.39,5400.0,1053572.45,0.0,780000.0,0.0,310551.0,467856.13,NJ,5.0,,,,,,14900.0,0.0,12/31/2018,1345.0,0.0,lonegan, steve,
Rich Pezzullo,NJ,U.S. House New Jersey District 6,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,H8NJ10110,"PEZZULLO, RICH",C,2.0,REP,108375.0,0.0,51205.89,450.0,0.0,57169.11,1350.0,70000.0,0.0,10000.0,0.0,60000.0,32260.0,NJ,6.0,,,,,,3700.0,1000.0,12/31/2018,1100.0,0.0,pezzullo, rich,
John Muniz,NJ,U.S. House New Jersey District 8,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,H8NJ08080,"MUNIZ, JOHN R",C,2.0,REP,5953.72,0.0,5953.72,0.0,0.0,0.0,502.72,1350.0,0.0,489.39,0.0,0.0,2101.0,NJ,8.0,,,,,,0.0,2000.0,12/14/2018,0.0,0.0,muniz, john r,
Bob Hugin,NJ,U.S. Senate New Jersey,Senator,Regular,6/5/18,Advanced,None,On the Ballot,75.13,Yes,,,,,,,,,,,,,,,S8NJ00509,"HUGIN, BOB",C,2.0,REP,39236111.14,26370.03,39113138.31,0.0,0.0,122972.96,0.0,36000000.0,0.0,0.0,0.0,301744.71,2938411.51,NJ,0.0,,,,,,202079.68,0.0,12/31/2018,6995.0,1000.0,hugin, bob,
Brian Goldberg,NJ,U.S. Senate New Jersey,Senator,Regular,6/5/18,Lost,None,None,24.87,No,,,,,,,,,,,,,,,S4NJ00292,"GOLDBERG, BRIAN DAVID MR",C,2.0,REP,10810.0,0.0,9881.02,0.0,150.0,1079.0,0.0,4034.0,0.0,2600.43,0.0,9533.0,6775.0,NJ,0.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,goldberg, brian david mr,
Janice Arnold-Jones,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,H8NM01372,"ARNOLD-JONES, JANICE E",O,2.0,REP,319022.65,0.0,319022.65,0.0,0.0,0.0,3596.6,510.0,0.0,0.0,0.0,0.0,294729.43,NM,1.0,,,,,,20000.0,50.0,12/04/2018,0.0,1500.0,arnold-jones, janice e,
Monty Newman,NM,U.S. House New Mexico District 2,Representative,Regular,6/5/18,Lost,None,None,32.03,No,Yes,,,,No,,No,,,No,,,,,H8NM02073,"NEWMAN, MONTY",O,2.0,REP,886783.38,0.0,886783.38,0.0,0.0,0.0,25094.5,140000.0,0.0,0.0,0.0,0.0,689488.88,NM,2.0,,,,,,32200.0,0.0,12/31/2018,146501.0,0.0,newman, monty,
