Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Primary %,Won Primary,Rep Party Support?,Trump Endorsed?,Bannon Endorsed?,Great America Endorsed?,NRA Endorsed?,Right to Life Endorsed?,Susan B. Anthony Endorsed?,Club for Growth Endorsed?,Koch Support?,House Freedom Support?,Tea Party Endorsed?,Main Street Endorsed?,Chamber Endorsed?,No Labels Support?,CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS,LAST_NAME,FIRST_NAME,SP_TITLE
Lou Barletta,PA,U.S. Senate Pennsylvania,Senator,Regular,5/15/18,Advanced,None,On the Ballot,63.03,Yes,,,,,,,,,Yes,,,,,,H2PA11098,"BARLETTA, LOU",I,2.0,REP,7508783.74,369827.79,7867336.65,88070.0,402910.61,44356.35,0.0,0.0,0.0,42020.0,65000.0,0.0,6221241.84,PA,11.0,,,,,,896123.79,2120.0,12/31/2018,74365.2,28500.0,barletta, lou,
Lou Barletta,PA,U.S. Senate Pennsylvania,Senator,Regular,5/15/18,Advanced,None,On the Ballot,63.03,Yes,,,,,,,,,Yes,,,,,,S8PA00320,"BARLETTA, LOU",C,2.0,REP,7407078.74,281757.79,7760181.65,88070.0,397460.61,44356.35,0.0,0.0,0.0,0.0,0.0,0.0,6220106.84,PA,0.0,,,,,,883623.79,2120.0,12/31/2018,74365.2,28500.0,barletta, lou,
Jim Christiana,PA,U.S. Senate Pennsylvania,Senator,Regular,5/15/18,Lost,None,None,36.97,No,,,,,,,,,No,,,,,,S8PA00270,"CHRISTIANA, JIM",C,2.0,REP,302403.96,0.0,300377.02,0.0,0.0,2026.56,1685.0,14900.0,0.0,0.0,0.0,37900.0,250419.0,PA,0.0,,,,,,34399.0,1000.0,12/31/2018,9700.0,1950.0,christiana, jim,
Frederick Wysocki,RI,U.S. House Rhode Island District 1,Representative,Regular,9/12/18,Lost,None,None,21.6,No,,,,,,,,,,,,,,,H8RI01092,"WYSOCKI, FREDERICK J",C,2.0,REP,6372.64,0.0,5720.33,0.0,0.0,652.31,2907.0,2635.64,0.0,0.0,0.0,2635.64,830.0,RI,1.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,wysocki, frederick j,
Salvatore Caiozzo,RI,U.S. House Rhode Island District 2,Representative,Regular,9/12/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,H6RI02284,"CAIOZZO, SALVATORE",C,2.0,REP,4960.0,0.0,3525.33,0.0,885.0,1371.0,0.0,3100.0,0.0,0.0,0.0,1000.0,1860.0,RI,2.0,,,,,,0.0,0.0,09/30/2018,0.0,0.0,caiozzo, salvatore,
Roque De La Fuente,RI,U.S. Senate Rhode Island,Senator,Regular,9/12/18,Lost,None,None,12.3,No,,,,,,,,,,,,,,,P60016342,"FUENTE, ROQUE ROCKY DE LA",O,1.0,DEM,1410760.98,0.0,1440483.88,0.0,1046.08,2343.18,0.0,1410694.5,0.0,86597.55,0.0,9320065.61,50.0,00,0.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,fuente, roque rocky de la,
Roque De La Fuente,RI,U.S. Senate Rhode Island,Senator,Regular,9/12/18,Lost,None,None,12.3,No,,,,,,,,,,,,,,,S8CA00598,"FUENTE, ROQUE ROCKY DE LA",C,2.0,REP,1410760.98,0.0,1440483.88,0.0,1046.08,2343.18,0.0,1410694.5,0.0,86597.55,0.0,9320065.61,50.0,CA,0.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,fuente, roque rocky de la,
Roque De La Fuente,RI,U.S. Senate Rhode Island,Senator,Regular,9/12/18,Lost,None,None,12.3,No,,,,,,,,,,,,,,,S8DE00178,"FUENTE, ROQUE ROCKY DE LA",C,2.0,REP,15000.0,0.0,15000.0,0.0,0.0,0.0,0.0,15000.0,0.0,4560.0,0.0,-4560.0,0.0,DE,0.0,,,,,,0.0,0.0,10/01/2018,0.0,0.0,fuente, roque rocky de la,
Roque De La Fuente,RI,U.S. Senate Rhode Island,Senator,Regular,9/12/18,Lost,None,None,12.3,No,,,,,,,,,,,,,,,S8FL00299,"FUENTE, ROQUE ""ROCKY"" DE LA",C,2.0,REP,45000.0,0.0,45000.0,0.0,0.0,0.0,0.0,45000.0,0.0,0.0,0.0,0.0,0.0,FL,0.0,,,,,,0.0,0.0,10/02/2018,0.0,0.0,fuente," roque ""rocky"" de la",
Roque De La Fuente,RI,U.S. Senate Rhode Island,Senator,Regular,9/12/18,Lost,None,None,12.3,No,,,,,,,,,,,,,,,S8RI00151,"FUENTE, ROQUE ROCKY DE LA",C,2.0,REP,100000.0,0.0,47761.14,0.0,0.0,52238.86,0.0,100000.0,0.0,25000.0,0.0,75000.0,0.0,RI,0.0,,,,,,0.0,0.0,09/30/2018,0.0,0.0,fuente, roque rocky de la,
Robert Flanders Jr.,RI,U.S. Senate Rhode Island,Senator,Regular,9/12/18,Advanced,None,On the Ballot,87.7,Yes,,,,,,,,,,,,,,,S8RI00128,"FLANDERS, ROBERT MR",C,2.0,REP,1211499.82,0.0,1211223.22,0.0,0.0,0.0,0.0,250000.0,0.0,14925.08,0.0,235074.92,958249.82,RI,0.0,,,,,,3250.0,0.0,12/31/2018,2800.0,0.0,flanders, robert mr,
Lee Bright,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Advanced,Lost,None,24.95,No,,,,,,,,No,,,,,,,H8SC04342,"BRIGHT, LEE",O,2.0,REP,342037.73,0.0,339465.24,0.0,0.0,2572.49,0.0,0.0,0.0,0.0,0.0,510.0,338641.43,SC,4.0,,,,,,3000.0,0.0,12/31/2018,6000.0,0.0,bright, lee,
William Timmons,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Advanced,Advanced,On the Ballot,19.21,Yes,,,,,,,,No,,,,,,,H8SC04250,"TIMMONS, WILLIAM R. IV",O,2.0,REP,1827157.42,0.0,1814017.85,0.0,0.0,13139.57,0.0,1152734.38,0.0,491500.0,0.0,528152.5,401473.04,SC,4.0,,,,,,272950.0,0.0,12/31/2018,1000.0,0.0,timmons, william r. iv,
Dan Hamilton,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,18.62,No,,,,,,,,No,,,,,,,H8SC04276,"HAMILTON, DAN",O,2.0,REP,278280.9,0.0,256846.3,0.0,0.0,21434.6,0.0,0.0,0.0,0.0,0.0,21232.29,255530.9,SC,4.0,,,,,,22750.0,0.0,12/31/2018,0.0,0.0,hamilton, dan,
Stephen Brown,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,7.57,No,,,,,,,,No,,,,,,,H8SC04375,"BROWN, STEPHEN H MR",O,2.0,REP,204799.35,0.0,204863.22,0.0,0.0,-63.87,0.0,137000.0,0.0,3600.0,0.0,133400.0,40580.0,SC,4.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,brown, stephen h mr,
Mark Burns,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,2.48,No,,,,,,,,No,,,,,,,H8SC04284,"BURNS, MARK",O,2.0,REP,136405.05,0.0,136405.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130405.05,SC,4.0,,,,,,6000.0,0.0,06/30/2018,13500.0,0.0,burns, mark,
Barry Bell,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,0.3,No,,,,,,,,No,,,,,,,H8SC04292,"BELL, BARRY",O,2.0,REP,5620.41,0.0,4274.41,0.0,0.0,1307.39,0.0,3000.0,0.0,0.0,0.0,1300.0,2620.41,SC,4.0,,,,,,0.0,0.0,06/12/2018,0.0,0.0,bell, barry,
Josh Kimbrell,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,11.13,No,,,,,,,,Yes,,,,,,,H8SC04318,"KIMBRELL, JOSH",O,2.0,REP,384666.0,0.0,384664.58,0.0,0.0,0.0,4050.0,53000.0,0.0,0.0,0.0,0.0,327616.0,SC,4.0,,,,,,0.0,0.0,12/31/2018,62150.0,1350.0,kimbrell, josh,
James Epley,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,8.03,No,,,,,,,,No,,,,,,,H8SC04409,"EPLEY, JAMES",O,2.0,REP,101965.0,0.0,91366.61,0.0,0.0,10598.39,50.0,70480.0,0.0,0.0,0.0,70480.0,31435.0,SC,4.0,,,,,,0.0,0.0,05/23/2018,0.0,0.0,epley, james,
Shannon Pierce,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,3.64,No,,,,,,,,No,,,,,,,H8SC04326,"PIERCE, SHANNON",O,2.0,REP,92477.7,0.0,92477.7,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,81930.0,SC,4.0,,,,,,5000.0,5000.0,07/06/2018,0.0,0.0,pierce, shannon,
Claude Schmid,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,2.11,No,,,,,,,,No,,,,,,,H8SC04417,"SCHMID, CLAUDE MR.",O,2.0,REP,43084.98,0.0,45452.72,0.0,0.0,-4159.82,0.0,31700.0,0.0,0.0,0.0,0.0,11384.98,SC,4.0,,,,,,0.0,0.0,08/17/2018,0.0,0.0,schmid, claude mr.,
John Marshall Mosser,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,0.68,No,,,,,,,,No,,,,,,,H8SC04383,"MOSSER, JOHN MARSHALL",O,2.0,REP,24875.0,0.0,24875.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,20875.0,SC,4.0,,,,,,0.0,0.0,07/14/2018,3533.55,0.0,mosser, john marshall,
Justin David Sanders,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,0.53,No,,,,,,,,No,,,,,,,H8SC04367,"SANDERS, JUSTIN DAVID MR.",O,2.0,REP,4100.0,0.0,129.87,0.0,-3500.97,-3479.87,4000.0,0.0,0.0,0.0,0.0,0.0,100.0,SC,4.0,,,,,,0.0,0.0,09/30/2018,0.0,0.0,sanders, justin david mr.,
Gerhard Gressmann,SC,U.S. House South Carolina District 6,Representative,Regular,6/12/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,H8SC06107,"GRESSMANN, GERHARD RALF REV",C,2.0,REP,8829.28,0.0,1666.28,0.0,313.18,7296.99,0.0,5504.28,0.0,0.0,0.0,6304.28,1625.0,SC,6.0,,,,,,0.0,1300.0,12/31/2018,0.0,0.0,gressmann, gerhard ralf rev,
Dusty Johnson,SD,U.S. House South Dakota At-large District,Representative,Regular,6/5/18,Advanced,None,On the Ballot,46.81,Yes,Yes,,,,,,No,,Yes,,,No,,,H8SD01055,"JOHNSON, DUSTY",O,2.0,REP,1668537.77,0.0,1715846.62,0.0,103301.38,55992.53,41757.35,0.0,0.0,0.0,0.0,0.0,1287449.93,SD,0.0,,,,,,333415.79,3250.0,12/31/2018,2200.0,0.0,johnson, dusty,
Neal Tapio,SD,U.S. House South Dakota At-large District,Representative,Regular,6/5/18,Lost,None,None,23.87,No,No,,,,,,No,,No,,,No,,,H8SD00024,"TAPIO, NEAL",O,2.0,REP,182010.0,0.0,182010.0,0.0,0.0,0.0,0.0,155025.0,0.0,14649.68,0.0,0.0,21985.0,SD,0.0,,,,,,0.0,0.0,07/13/2018,250.0,0.0,tapio, neal,
Shantel Krebs,SD,U.S. House South Dakota At-large District,Representative,Regular,6/5/18,Lost,None,None,29.34,No,Yes,,,,,,Yes,,No,,,Yes,,No,H8SD01063,"KREBS, SHANTEL",O,2.0,REP,685166.15,0.0,646445.88,0.0,0.0,26675.27,1686.69,0.0,0.0,0.0,0.0,0.0,650337.79,SD,0.0,,,,,,32850.0,0.0,12/31/2018,34375.0,0.0,krebs, shantel,
Jason Emert,TN,U.S. House Tennessee District 2,Representative,Regular,8/2/18,Lost,None,None,2.3,No,,,,,,,,,No,,,No,,,H8TN02200,"EMERT, JASON",O,2.0,REP,487156.68,0.0,487156.68,0.0,0.0,0.0,65334.88,322000.0,0.0,0.0,0.0,252780.0,93675.44,TN,2.0,,,,,,5250.0,0.0,12/31/2018,7410.0,0.0,emert, jason,
Jimmy Matlock,TN,U.S. House Tennessee District 2,Representative,Regular,8/2/18,Lost,None,None,36.1,No,,,,,,,,,Yes,,,No,,,H8TN02127,"MATLOCK, JIMMY",O,2.0,REP,793229.01,0.0,792298.21,0.0,200.0,1130.8,0.0,240000.0,0.0,0.0,0.0,240000.0,536479.01,TN,2.0,,,,,,4000.0,10950.0,12/31/2018,1000.0,0.0,matlock, jimmy,
Tim Burchett,TN,U.S. House Tennessee District 2,Representative,Regular,8/2/18,Advanced,None,On the Ballot,48.2,Yes,,,,,,,,,No,,,No,,,H8TN02119,"BURCHETT, TIM",O,2.0,REP,1094057.68,0.0,958168.08,0.0,0.0,135889.6,0.0,0.0,0.0,0.0,0.0,0.0,983817.43,TN,2.0,,,,,,108825.0,0.0,12/31/2018,11879.0,0.0,burchett, tim,
Vito Sagliano,TN,U.S. House Tennessee District 2,Representative,Regular,8/2/18,Lost,None,None,0.8,No,,,,,,,,,No,,,No,,,H8TN02168,"SAGLIANO, VITO ANTHONY MR.",O,2.0,REP,12342.35,0.0,12010.27,0.0,305.0,637.08,9247.6,0.0,0.0,0.0,0.0,0.0,3094.75,TN,2.0,,,,,,0.0,0.0,08/14/2018,0.0,0.0,sagliano, vito anthony mr.,
Hank Hamblin,TN,U.S. House Tennessee District 2,Representative,Regular,8/2/18,Lost,None,None,0.9,No,,,,,,,,,No,,,No,,,H8TN02242,"HAMBLIN, HANK",O,2.0,REP,10945.94,0.0,13568.86,0.0,0.67,-2622.25,0.0,6250.0,0.0,0.0,0.0,6250.0,4695.94,TN,2.0,,,,,,0.0,0.0,07/13/2018,0.0,0.0,hamblin, hank,
Ashley Nickloes,TN,U.S. House Tennessee District 2,Representative,Regular,8/2/18,Lost,None,None,11.0,No,,,,,,,,,No,,,Yes,,,H8TN02218,"NICKLOES, ASHLEY",O,2.0,REP,243854.67,9646.31,243854.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148255.0,TN,2.0,,,,,,85937.5,0.0,09/28/2018,10870.0,5000.0,nickloes, ashley,
Jody Ball,TN,U.S. House Tennessee District 5,Representative,Regular,8/2/18,Advanced,None,On the Ballot,55.9,Yes,,,,,,,,,,,,,,,H6TN05314,"BALL, JODY",C,2.0,REP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TN,5.0,,,,,,0.0,0.0,07/15/2018,0.0,0.0,ball, jody,
Judd Matheny,TN,U.S. House Tennessee District 6,Representative,Regular,8/2/18,Lost,None,None,15.9,No,,,,,,No,,,,Yes,,,,,H8TN06086,"MATHENY, JUDD",O,2.0,REP,276131.91,0.0,276131.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257076.09,TN,6.0,,,,,,19000.0,0.0,12/31/2018,100.0,0.0,matheny, judd,
Robert Ewing Corlew,TN,U.S. House Tennessee District 6,Representative,Regular,8/2/18,Lost,None,None,31.1,No,,,,,,Yes,,,,No,,,,,H8TN06102,"CORLEW, ROBERT",O,2.0,REP,1520974.91,0.0,1520974.91,0.0,0.0,0.0,132.91,1500000.0,0.0,3980.36,0.0,0.0,20792.0,TN,6.0,,,,,,0.0,0.0,09/12/2018,0.0,0.0,corlew, robert,
John Rose,TN,U.S. House Tennessee District 6,Representative,Regular,8/2/18,Advanced,None,On the Ballot,41.3,Yes,,,,,,No,,,,No,,,,,H8TN06094,"ROSE, JOHN W.",O,2.0,REP,5241823.34,0.0,5212189.78,0.0,0.0,29633.56,0.0,781634.83,3500000.0,250000.0,2000000.0,2031634.83,765115.88,TN,6.0,,,,,,194500.0,0.0,12/31/2018,0.0,0.0,rose, john w.,
"LaVern ""U-Turn LaVern"" Vivio",TN,U.S. House Tennessee District 6,Representative,Regular,8/2/18,Lost,None,None,8.8,No,,,,,,No,,,,No,,,,,H8TN06151,"VIVIO, LAVERN",O,2.0,REP,28214.83,0.0,28239.53,0.0,0.0,-14117.43,0.0,0.0,0.0,0.0,0.0,0.0,28214.83,TN,6.0,,,,,,0.0,0.0,09/30/2018,0.0,0.0,vivio, lavern,
Mark Green,TN,U.S. House Tennessee District 7,Representative,Regular,8/2/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,Yes,,Yes,,,,,H8TN07076,"GREEN, MARK DR.",O,2.0,REP,2461275.21,49450.0,2445092.89,0.0,0.0,16182.32,120025.0,808000.0,0.0,675000.0,0.0,133000.0,1265391.11,TN,7.0,,,,,,218309.1,100.0,12/31/2018,5400.0,0.0,green, mark dr.,
Charlotte Bergmann,TN,U.S. House Tennessee District 9,Representative,Regular,8/2/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,H8TN09114,"BERGMANN, CHARLOTTE",C,2.0,REP,74193.31,0.0,72217.79,0.0,0.0,1975.52,0.0,1651.56,0.0,0.0,0.0,1651.56,71541.75,TN,9.0,,,,,,1000.0,0.0,12/31/2018,0.0,0.0,bergmann, charlotte,
Marsha Blackburn,TN,U.S. Senate Tennessee,Senator,Regular,8/2/18,Advanced,None,On the Ballot,84.5,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,,,,,,H2TN06030,"BLACKBURN, MARSHA MRS.",I,2.0,REP,14634619.97,2061568.42,16572477.7,20849.0,2551958.17,614100.03,0.0,0.0,0.0,0.0,0.0,0.0,9763518.28,TN,7.0,,,,,,2581901.17,49348.59,12/31/2018,117296.67,28428.06,blackburn, marsha mrs.,
Tim Westley,TX,U.S. House Texas District 15,Representative,Regular,3/6/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,H6TX15204,"WESTLEY, TIM",C,2.0,REP,22531.0,0.0,22942.0,0.0,29.0,293.0,997.0,300.0,0.0,300.0,0.12,0.0,21218.0,TX,15.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,westley, tim,
Rick Seeberger,TX,U.S. House Texas District 16,Representative,Regular,3/6/18,Advanced,None,On the Ballot,69.35,Yes,,,,,,,,,,,,,,,H8TX16133,"SEEBERGER, RICK",O,3.0,REC,50106.01,0.0,49210.07,0.0,0.0,829.99,5145.74,13658.53,0.0,0.0,0.0,13658.53,30096.79,TX,16.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,seeberger, rick,
Alia Garcia-Ureste,TX,U.S. House Texas District 16,Representative,Regular,3/6/18,Lost,None,None,30.65,No,,,,,,,,,,,,,,,H8TX16125,"GARCIA-URESTE, ALIA",O,2.0,REP,165.0,0.0,0.45,0.0,0.0,164.55,5.0,0.0,0.0,0.0,0.0,0.0,160.0,TX,16.0,,,,,,0.0,0.0,12/31/2017,0.0,0.0,garcia-ureste, alia,
Ava Pate,TX,U.S. House Texas District 18,Representative,Regular,3/6/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,H6TX18158,"PATE, AVA",C,2.0,REP,10883.41,0.0,10287.27,0.0,354.64,950.78,4263.41,0.0,0.0,0.0,0.0,0.0,6620.0,TX,18.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,pate, ava,
Kevin Roberts,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Advanced,Lost,None,33.03,No,,,,,Yes,,,,,,No,,,,H8TX02117,"ROBERTS, KEVIN",O,2.0,REP,1086643.11,0.0,1086643.11,0.0,0.0,0.0,3125.0,393000.0,0.0,78142.41,0.0,0.0,602596.26,TX,2.0,,,,,,87835.25,0.0,07/19/2018,13500.0,0.0,roberts, kevin,
Daniel Crenshaw,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,27.42,Yes,,,,,No,,,,,,Yes,,,,H8TX02166,"CRENSHAW, DANIEL",O,3.0,UNK,1865423.71,25756.57,1844245.24,0.0,0.0,21178.47,156.0,0.0,0.0,0.0,0.0,0.0,1489616.63,TX,2.0,,,,,,347472.17,0.0,12/31/2018,22264.0,2300.0,crenshaw, daniel,
David Balat,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Lost,None,None,0.75,No,,,,,No,,No,,,,No,,,,H8TX07082,"BALAT, DAVID",O,2.0,REP,180021.54,0.0,180021.54,0.0,0.0,0.0,0.0,86600.0,0.0,44844.87,0.0,41755.13,93022.28,TX,2.0,,,,,,0.0,0.0,12/31/2018,20250.0,0.0,balat, david,
Malcolm Whittaker,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Lost,None,None,0.7,No,,,,,No,,No,,,,No,,,,H8TX02109,"WHITTAKER, MALCOLM EDWIN MR.",O,2.0,REP,11332.39,0.0,11312.39,0.0,0.0,0.0,222.39,0.0,0.0,0.0,0.0,0.0,11110.0,TX,2.0,,,,,,0.0,0.0,12/31/2018,150.0,0.0,whittaker, malcolm edwin mr.,
Rick Walker,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Lost,None,None,7.18,No,,,,,No,,No,,,,No,,,,H8TX02125,"WALKER, RICK",O,2.0,REP,602161.61,0.0,601096.66,0.0,0.0,1064.95,0.0,495000.0,0.0,100000.0,0.0,250000.0,105575.17,TX,2.0,,,,,,0.0,0.0,12/31/2018,24330.0,0.0,walker, rick,
Kathaleen Wall,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Lost,None,None,27.08,No,,,,,No,,Yes,,,,No,,,,H8TX02141,"WALL, KATHALEEN MRS.",O,2.0,REP,6213448.49,0.0,6213351.28,0.0,0.0,97.21,6169732.49,0.0,0.0,0.0,0.0,0.0,38716.0,TX,2.0,,,,,,5000.0,0.0,06/30/2018,2000.0,5000.0,wall, kathaleen mrs.,
Justin Lurie,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Lost,None,None,0.92,No,,,,,No,,No,,,,No,,,,H8TX02190,"LURIE, JUSTIN LEONARD",O,2.0,REP,10018.54,542.54,10018.54,0.0,0.0,0.0,0.0,5000.0,0.0,164.0,0.0,4836.0,4476.0,TX,2.0,,,,,,0.0,0.0,03/31/2018,0.0,0.0,lurie, justin leonard,
Jon Spiers,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Lost,None,None,0.9,No,,,,,No,,No,,,,No,,,,H8TX02208,"SPIERS, JON P DR",O,2.0,REP,50137.77,0.0,49827.22,0.0,0.0,3010.55,5400.0,9000.0,0.0,0.0,0.0,60992.55,35737.77,TX,2.0,,,,,,0.0,0.0,12/31/2018,8100.0,0.0,spiers, jon p dr,
Jonny Havens,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Lost,None,None,2.02,No,,,,,No,,No,,,,No,,,,H8TX02182,"HAVENS, JONNY",O,2.0,REP,162155.0,0.0,162155.0,0.0,0.0,0.0,0.0,80000.0,0.0,0.0,0.0,80875.24,81655.0,TX,2.0,,,,,,500.0,0.0,09/30/2018,0.0,0.0,havens, jonny,
Chip Roy,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,27.06,Yes,,,,,,Yes,,Yes,,Yes,Yes,,,No,H8TX21307,"ROY, CHIP",O,2.0,REP,1895147.95,1820.58,1757842.15,0.0,0.0,137305.8,1308.57,0.0,0.0,0.0,0.0,0.0,1584679.51,TX,21.0,,,,,,306839.29,500.0,12/31/2018,8250.0,2000.0,roy, chip,
Francisco Canseco,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,3.47,No,,,,,,No,,No,,No,No,,,No,H4TX28046,"CANSECO, FRANCISCO 'QUICO'",O,2.0,REP,22361.49,0.0,22361.49,0.0,127821.13,127821.13,236.49,0.0,0.0,0.0,0.0,123103.39,22125.0,TX,21.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,canseco, francisco 'quico',
Jason Isaac,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,10.04,No,,,,,,No,,No,,No,No,,,No,H8TX21216,"ISAAC, JASON",O,2.0,REP,253514.56,0.0,253099.01,0.0,0.0,415.55,1500.0,3375.0,0.0,0.0,0.0,3375.0,239639.56,TX,21.0,,,,,,9000.0,0.0,12/31/2018,36950.0,0.0,isaac, jason,
Susan Narvaiz,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,3.79,No,,,,,,No,,No,,No,No,,,No,H8TX21224,"NARVAIZ, SUSAN",O,2.0,REP,70808.77,0.0,70387.05,0.0,0.0,421.72,46545.84,0.0,0.0,0.0,0.0,0.0,24110.0,TX,21.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,narvaiz, susan,
Susan Narvaiz,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,3.79,No,,,,,,No,,No,,No,No,,,No,H2TX35029,"NARVAIZ, SUSAN",C,2.0,REP,10.99,0.0,62.8,0.0,442.9,391.09,0.0,0.0,0.0,0.0,0.0,146242.05,0.0,TX,35.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,narvaiz, susan,
Autry Pruitt,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,0.63,No,,,,,,No,,No,,No,No,,,No,H8TX08106,"PRUITT, AUTRY",O,2.0,REP,13191.0,0.0,13191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,13191.0,TX,21.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,pruitt, autry,
Robert Stovall,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,4.76,No,,,,,,No,,No,,No,No,,,No,H8TX21273,"STOVALL, ROBERT",O,2.0,REP,159554.5,0.0,157404.17,0.0,0.0,2150.33,1035.0,35000.0,0.0,0.0,0.0,69900.0,118019.0,TX,21.0,,,,,,5500.0,0.0,12/31/2018,200.0,0.0,stovall, robert,
Ivan Andarza,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,0.13,No,,,,,,No,,No,,No,No,,,No,H8TX21265,"ANDARZA, IVAN ARTURO",O,2.0,REP,8896.77,0.0,8235.6,0.0,0.0,661.17,7861.77,0.0,0.0,0.0,0.0,0.0,1035.0,TX,21.0,,,,,,0.0,0.0,04/23/2018,0.0,0.0,andarza, ivan arturo,
Ryan Krause,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,3.2,No,,,,,,No,,No,,No,No,,,No,H8TX21281,"KRAUSE, RYAN PATRICK",O,2.0,REP,29903.07,0.0,29430.15,0.0,0.0,472.92,0.0,18984.68,0.0,9486.06,0.0,0.0,10918.39,TX,21.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,krause, ryan patrick,
Jenifer Sarver,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,5.61,No,,,,,,No,,No,,No,No,,,No,H8TX21315,"SARVER, JENIFER",O,2.0,REP,213468.8,0.0,208073.06,0.0,0.0,5395.74,25.0,8470.98,0.0,8470.98,0.0,0.0,200472.82,TX,21.0,,,,,,4500.0,0.0,03/31/2018,0.0,0.0,sarver, jenifer,
