Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS,LAST_NAME,FIRST_NAME,SP_TITLE
Lorie Burch,TX,U.S. House Texas District 3,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,-20.709999,49.610001000000004,Yes,White,No,Yes,No,No,No,No,,,No,,,,,Yes,,,,,,H8TX03099,"BURCH, LORIE LOUISE",O,1.0,DEM,320882.91,0.0,322136.33,0.0,0.0,-1278.42,1100.0,25649.5,0.0,4000.0,0.0,21649.5,287295.53,TX,3.0,,,,,,0.0,4000.0,12/31/2018,88.74,0.0,burch, lorie louise,
Medrick Yhap,TX,U.S. House Texas District 3,Representative,Regular,3/6/18,Lost,None,None,-20.709999,3.76,No,Nonwhite,No,No,No,No,No,No,,,No,,,,,No,,,,,,H8TX03115,"YHAP, MEDRICK",O,1.0,DEM,8050.0,0.0,6384.25,0.0,0.0,1665.0,0.0,6700.0,0.0,0.0,0.0,3200.0,1350.0,TX,3.0,,,,,,0.0,0.0,03/31/2018,0.0,0.0,yhap, medrick,
Sam Johnson,TX,U.S. House Texas District 3,Representative,Regular,3/6/18,Advanced,Lost,None,-20.709999,28.68,No,White,No,No,No,No,No,No,,,Yes,,,,,No,,,,,,H2TX03118,"JOHNSON, SAM MR.",I,2.0,REP,5352.05,0.0,429373.35,0.0,424021.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.5,TX,3.0,,,,,,0.0,0.0,12/24/2018,0.0,0.0,johnson, sam mr.,
Christine Mann,TX,U.S. House Texas District 31,Representative,Regular,3/6/18,Advanced,Lost,None,-17.379998999999998,33.509997999999996,No,White,No,No,No,No,Yes,No,,,Yes,,,,Yes,,,,,,,H8TX31033,"MANN, CHRISTINE EADY",C,1.0,DEM,95312.0,0.0,92526.04,0.0,-264.82,1437.27,2114.26,0.0,0.0,0.0,0.0,0.0,86235.01,TX,31.0,,,,,,0.0,4000.0,12/31/2018,0.0,0.0,mann, christine eady,
Mike Clark,TX,U.S. House Texas District 31,Representative,Regular,3/6/18,Lost,None,None,-17.379998999999998,11.23,No,White,No,No,No,No,Yes,No,,,No,,,,No,,,,,,,H6TX31045,"CLARK, MIKE",C,1.0,DEM,17365.81,0.0,18004.14,0.0,1082.47,444.14,535.57,0.0,0.0,1900.0,0.0,4700.0,16827.56,TX,31.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,clark, mike,
Brett Shipp,TX,U.S. House Texas District 32,Representative,Regular,3/6/18,Lost,None,None,-4.98,16.34,No,White,No,No,No,No,No,No,No,No,No,,,,,,,,,,,H8TX32163,"SHIPP, BRETT R.",C,1.0,DEM,127727.18,0.0,127727.18,0.0,0.0,0.0,1.0,9000.0,0.0,9000.0,0.0,0.0,113561.21,TX,32.0,,,,,,500.0,4000.0,03/22/2018,0.0,0.0,shipp, brett r.,
Colin Allred,TX,U.S. House Texas District 32,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,-4.98,38.43,Yes,Nonwhite,No,No,No,No,No,Yes,Yes,No,Yes,,,,,,,,,,,H8TX32098,"ALLRED, COLIN",C,1.0,DEM,5972679.56,504704.57,5869234.53,0.0,0.0,103445.03,0.0,25000.0,0.0,25000.0,0.0,0.0,4926551.99,TX,32.0,,,,,,467225.78,4871.93,12/31/2018,42271.49,9125.64,allred, colin,
Edward Meier,TX,U.S. House Texas District 32,Representative,Regular,3/6/18,Lost,None,None,-4.98,13.7,No,White,No,No,No,No,No,Yes,No,No,Yes,,,,,,,,,,,H8TX32106,"MEIER, EDWARD",C,1.0,DEM,1016874.1,0.0,1016708.2,0.0,0.0,165.9,0.0,0.0,0.0,0.0,0.0,0.0,1007210.3,TX,32.0,,,,,,2500.0,4000.0,05/28/2018,100770.0,0.0,meier, edward,
George Rodriguez,TX,U.S. House Texas District 32,Representative,Regular,3/6/18,Lost,None,None,-4.98,7.5900002,No,Nonwhite,No,No,No,No,No,No,No,No,No,,,,,,,,,,,H8TX32122,"RODRIGUEZ, GEORGE",C,1.0,DEM,133793.68,0.0,133824.5,0.0,0.0,0.0,8192.75,0.0,0.0,0.0,0.0,0.0,123229.0,TX,32.0,,,,,,0.0,0.0,07/24/2018,0.0,0.0,rodriguez, george,
Lillian Salerno,TX,U.S. House Texas District 32,Representative,Regular,3/6/18,Advanced,Lost,None,-4.98,18.35,No,White,No,No,No,No,No,Yes,No,Yes,No,,,,,,,,,,,H8TX32148,"SALERNO, LILLIAN",C,1.0,DEM,698945.72,0.0,697064.42,0.0,0.0,1881.3,17409.1,0.0,0.0,0.0,0.0,0.0,662536.62,TX,32.0,,,,,,19000.0,0.0,12/31/2018,29160.0,0.0,salerno, lillian,
